amenity,name,cuisine,longitude,latitude
bar,Samoa Bar,N/A,-74.1188,4.6208
bar,Depósito de Cerveza San Rafael,N/A,-74.1124,4.6215
bar,Fusion Bar and Disco,N/A,-74.1376,4.619
bar,Zona VIP,N/A,-74.1146,4.6233
bar,Sunset Cafe Bar,N/A,-74.1375,4.6195
bar,Canterbury Cafe Bar,N/A,-74.1375,4.6198
bar,Martina Bar,N/A,-74.1375,4.6201
bar,J.R.K. Bar Social,N/A,-74.1132,4.6117
bar,Bombillo Verde,N/A,-74.112,4.6232
bar,Copacabana,N/A,-74.1007,4.5977
bar,Los del Valle,N/A,-74.1387,4.5961
bar,Iron Horse,N/A,-74.1483,4.6332
bar,Bar Ginebra Pub,N/A,-74.1605,4.6416
bar,Bar el Apero,N/A,-74.1385,4.6123
bar,BBC Cerverceria,N/A,-74.0587,4.7534
bar,Juego Limpio,N/A,-74.1346,4.703
bar,N/A,N/A,-74.0504,4.6917
bar,shy,N/A,-74.1261,4.579
bar,N/A,N/A,-74.1135,4.7124
bar,BBC,N/A,-74.0567,4.6487
bar,Bogotá Beer Company La Candelaria,N/A,-74.0706,4.6001
bar,Casa de Manu,N/A,-74.0707,4.6003
bar,BBC La Bodega,N/A,-74.0491,4.7051
bar,Beer bar,N/A,-74.0308,4.7377
bar,john,N/A,-74.0903,4.6974
bar,N/A,N/A,-74.0705,4.6032
bar,La Bodega - Bogota Beer Company,N/A,-74.0831,4.669
bar,Black sheep,N/A,-74.0542,4.6684
bar,N/A,N/A,-74.0707,4.6032
bar,Tropical Drinks,N/A,-74.0439,4.7497
bar,District Music Lab,N/A,-74.0462,4.6977
bar,N/A,N/A,-74.07,4.6328
bar,Rockola Bar Daniela,N/A,-74.1074,4.6722
bar,Van Der,N/A,-74.071,4.6242
bar,La 40,N/A,-74.0704,4.6292
bar,El Bukowski,N/A,-74.0712,4.6229
bar,Donde Mao,N/A,-74.072,4.6405
bar,Full Party Halloween 2018 maldita sea,N/A,-74.0606,4.6555
bar,Teusa Bar,N/A,-74.0732,4.6173
bar,UVV,N/A,-74.0713,4.6207
bar,Prelibato,N/A,-74.0818,4.6275
bar,The Shots Lab,N/A,-74.0729,4.6336
bar,Rockollina,N/A,-74.0721,4.6335
bar,Bar Billar Tayrona,N/A,-74.0828,4.6172
bar,Billares Paloquemao,N/A,-74.0835,4.6178
bar,Billares,N/A,-74.091,4.6968
bar,Guarin,N/A,-74.0918,4.6972
bar,Okinawa,N/A,-74.1062,4.6561
bar,N/A,N/A,-74.0916,4.7252
bar,LxF,N/A,-74.0538,4.668
bar,N/A,N/A,-74.0624,4.6459
bar,N/A,N/A,-74.0625,4.6462
bar,N/A,N/A,-74.0627,4.6471
